run_id,job_id,status,prompt_id,prompt_number,prompt_version,model,thinking_budget,dataset_id,dataset_version,target_variable,validation_basis,created_at,updated_at,results_path,notes
run_0011,projects/921222602739/locations/us-central1/batchPredictionJobs/7772963513730859008,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_004_description,v1,politics_title_desc,screening_state,2026-08-27T18:36:29,2026-08-27T18:45:53,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0011.csv,
run_0012,projects/921222602739/locations/us-central1/batchPredictionJobs/7611819089564008448,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_005_title,v1,politics_title,screening_state,2026-08-27T19:03:12,2026-08-27T19:14:53,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0012.csv,
run_0013,projects/921222602739/locations/us-central1/batchPredictionJobs/611817893746704384,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_005_description,v1,politics_title_desc,screening_state,2026-08-27T19:26:38,2026-08-27T19:49:33,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0013.csv,
run_0014,projects/921222602739/locations/us-central1/batchPredictionJobs/1545083363402973184,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_006_title,v1,politics_title,screening_state,2026-08-27T22:38:19,2026-08-27T23:03:43,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0014_combined.csv,
run_0015,projects/921222602739/locations/us-central1/batchPredictionJobs/3383677911276978176,merged_into_run_0014,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_006_title_retry_of_run_0014,v1,politics_title,screening_state,2026-08-27T22:56:01,2026-08-27T23:03:43,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0015.csv,
run_0016,projects/921222602739/locations/us-central1/batchPredictionJobs/6313832418834907136,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_006_description,v1,politics_title_desc,screening_state,2026-08-27T23:12:12,2026-08-27T23:18:06,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0016.csv,
run_0017,projects/921222602739/locations/us-central1/batchPredictionJobs/1695813213431529472,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_007_title,v1,politics_title,screening_state,2026-08-27T23:30:57,2026-08-27T23:53:37,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0017_combined.csv,
run_0018,projects/921222602739/locations/us-central1/batchPredictionJobs/7198649008124854272,merged_into_run_0017,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_007_title_retry_of_run_0017,v1,politics_title,screening_state,2026-08-27T23:48:31,2026-08-27T23:53:37,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0018.csv,
run_0019,projects/921222602739/locations/us-central1/batchPredictionJobs/5958399891993526272,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_007_description,v1,politics_title_desc,screening_state,2026-08-28T00:32:17,2026-08-28T00:38:12,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0019.csv,
run_0020,projects/921222602739/locations/us-central1/batchPredictionJobs/7746891894013034496,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_008_title,v1,politics_title,screening_state,2026-08-28T00:50:36,2026-08-28T00:56:24,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0020.csv,
run_0021,projects/921222602739/locations/us-central1/batchPredictionJobs/2700608511544393728,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_008_description,v1,politics_title_desc,screening_state,2026-08-28T01:02:17,2026-08-28T01:08:03,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0021.csv,
run_0022,projects/921222602739/locations/us-central1/batchPredictionJobs/6272264282235207680,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_009_title,v1,politics_title,screening_state,2026-08-30T19:56:40,2026-08-30T20:05:48,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0022.csv,
run_0023,projects/921222602739/locations/us-central1/batchPredictionJobs/3697542301518659584,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_009_description,v1,politics_title_desc,screening_state,2026-08-30T20:16:22,2026-08-30T20:22:00,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0023.csv,
run_0024,projects/921222602739/locations/us-central1/batchPredictionJobs/2635255739412643840,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_010_title,v1,politics_title,screening_state,2026-08-30T20:42:03,2026-08-30T20:52:53,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0024.csv,
run_0025,projects/921222602739/locations/us-central1/batchPredictionJobs/7343646004526186496,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_010_description,v1,politics_title_desc,screening_state,2026-08-31T10:08:31,2026-08-31T10:14:25,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0025.csv,
